total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66268,1,1,195,2,1,0.2587890625,0.1884765625,0,22321,14593,85,17627,2109,azure-core-tracing-opentelemetry,QmQUdHXtfmvwKMA3yuufZkp38wgXCEpYAGAa3y7qyodZLs
131072,66213,1,1,195,2,1,0.2587890625,0.1884765625,0,22292,14567,85,17627,2109,azure-cosmos,QmZPo35P4VKs85u9BeH2Wg12oiU1FcDMMH6gxwD5MnJ72d
131072,47244,1,4,181,1,3,0.2587890625,0.1884765625,0,17104,7337,85,11914,1280,pyjwt,QmWSugGkA8kXuXwoRhLsREN93a2KfNNkwgyU9zCaA3jtmg
131072,78992,1,3,200,3,2,0.2587890625,0.1884765625,0,27841,21797,85,17627,2109,msal,QmNU5FDLzBefRLzLgswxHmVPiecXexPFRSQdzu8Z8Xs2NT
131072,47271,1,2,183,1,1,0.2587890625,0.1884765625,0,17131,7337,85,11914,1280,msal-extensions,QmXgHFAUG8W6FhhSR5Nzufoy1bN7fzSSfvHzK28msv8wGM
262144,111564,1,1,251,5,1,0.2587890625,0.1884765625,0,39395,36257,85,23340,2938,azure-identity,QmWJ5JREMZGVmLEq6rAsaJnehvs1DfFLWMbbsiTWbPVsJt
65536,27276,1,2,171,0,1,0.2587890625,0.1884765625,0,11129,105,85,6137,443,azure-common,QmYZaF5Zkx1YnBbDvHpRrzhvH9s49tj4T1ioxTt1meVQxi
262144,98373,1,1,214,4,1,0.2587890625,0.1884765625,0,33450,29027,85,23340,2938,azure-search-documents,QmV1WofqM8wpmstyvNT7AWumSAaJm76sJuCGGnBHszx7b6
65536,27449,1,4,173,0,2,0.2587890625,0.1884765625,0,11302,105,85,6137,443,jmespath,QmSHqzJWfYJh3V35GdJkBFuAgqY98vGsDbtV9m8n6v8ZZF
65536,27665,1,5,171,0,4,0.2587890625,0.1884765625,0,11518,105,85,6137,443,six,QmTf4DtWfnYR8nUP4s2mUmWzieA14YUzTXYzTiYnuGNaqL
131072,47074,1,4,183,1,8,0.2587890625,0.1884765625,0,16934,7337,85,11914,1280,python-dateutil,QmVW4eSSBEWuUuUZDs8Gja6nqZZPcznZxTFDZwHZTEfvpN
131072,79242,1,3,202,3,2,0.2587890625,0.1884765625,0,28052,21836,85,17627,2109,botocore,QmNMWBxsSxVohBA7jM7crwBgHJ61dRDMNeJKkiXHUPY4gT
131072,47263,1,2,183,1,1,0.2587890625,0.1884765625,0,17123,7337,85,11914,1280,s3transfer,QmRuaf6ZPgS8xjTe9u4Mzzr1zDYb9LD1kth9zHbo3n4QHG
131072,79397,1,1,246,3,1,0.2587890625,0.1884765625,0,28246,21797,85,17627,2109,boto3,QmctuS3exQ8J5C8TXWpUyCJ6ZTDnD8PkW8PXq1K95JvonY
65536,27654,1,2,173,0,1,0.2587890625,0.1884765625,0,11507,105,85,6137,443,bcrypt,QmYtSFkk6yPeKVLTRjSFkXcpj3paE4dvaHu7vb2czZZ8pw
65536,27681,1,3,170,0,1,0.2587890625,0.1884765625,0,11534,105,85,6137,443,pyproject-hooks,QmPUsDpkmjTg1RiJpY8Fieazioevv2oGjhDmD9T6JifZ63
65536,27451,1,3,170,0,4,0.2587890625,0.1884765625,0,11304,105,85,6137,443,tomli,QmcjTzizPyXDHpoT8jXW6dFbS4JfHPtLaGZ2AtggH6G2B2
262144,111399,1,2,223,5,1,0.2587890625,0.1884765625,0,39165,36322,85,23340,2938,build,QmcuhBmJjrvYqwfVMNYqnKsHUM4x4t928xzoezfsWm9Pj4
131072,47254,1,7,185,1,12,0.2587890625,0.1884765625,0,17114,7337,85,11914,1280,grpcio,QmfZxfe6oL6Dm9oqaKXEkGzCX8Ey7zpFNu1vczzbJr4TQ5
65536,27689,1,2,175,0,1,0.2587890625,0.1884765625,0,11542,105,85,6137,443,importlib-resources,QmX4SrLMu6No1ZU8PytcFgKyiPzm5AyXonn9k3rpudn3u9
65536,27654,1,7,176,0,3,0.2587890625,0.1884765625,0,11507,105,85,6137,443,attrs,QmQtoBs8BVDfFA3R8CRrcLWfoUPj7PPDzaZRYpFVheLcdA
65536,27674,1,7,169,0,2,0.2587890625,0.1884765625,0,11527,105,85,6137,443,rpds-py,QmXWwjmCidS2UfmcJUCBmLrB6M2ZhWdUMm84EkoT6wKeei
131072,79416,1,6,204,3,3,0.2587890625,0.1884765625,0,28265,21797,85,17627,2109,referencing,Qmb8VvxzgC2kMGoPUTKP4kAUbsoVKWcSSoPYKCRP2EtLkS
131072,47082,1,5,183,1,2,0.2587890625,0.1884765625,0,16942,7337,85,11914,1280,jsonschema-specifications,QmaDW9SZVTucLh3mh7a4RfE2LsdkaMXRFHmYUxJA6jXw2N
262144,98744,1,4,215,4,6,0.2587890625,0.1884765625,0,33821,29027,85,23340,2938,jsonschema,QmatQNYK3H2TtUcHnPvB9aVVq3HC47mDGoePGu7xNbGohx
65536,27269,1,3,173,0,1,0.2587890625,0.1884765625,0,11122,105,85,6137,443,durationpy,Qmdd15aksmu9dhtrXzeALwbKXaXwv2A7EzgoRXCyFEbTkp
65536,27654,1,5,170,0,10,0.2587890625,0.1884765625,0,11507,105,85,6137,443,pyyaml,QmTag2GPcYpGbbMtpo8DUQ7mWhqbV5c4UbYVYsNTDNYTfB
65536,27449,1,4,174,0,1,0.2587890625,0.1884765625,0,11302,105,85,6137,443,oauthlib,QmZssKNjKg8qZGVLiQvwzAeRoDweFw9ADk75fPfd7XsU3t
131072,66440,1,3,194,2,1,0.2587890625,0.1884765625,0,22493,14593,85,17627,2109,requests-oauthlib,QmdEBxDPQYM8mZNNTXRJy9cNvNYUnkoeHnp8k373nUkC2W
65536,27466,1,3,175,0,1,0.2587890625,0.1884765625,0,11319,105,85,6137,443,websocket-client,Qmbvjd5Nkf1zmbK5w9g7BxN2C6yMUFZtSDaGoFHjy3uFe7
262144,169282,1,2,250,9,1,0.2587890625,0.1884765625,0,61651,65177,85,29053,3767,kubernetes,QmXKVa2nwkdmvEwCUwpLWxCJxDggKk7vCW5hSYaao3Xkf2
65536,27474,1,2,170,0,1,0.2587890625,0.1884765625,0,11327,105,85,6137,443,mmh3,QmcnJmtvWA6G1LY9dtYrGmMavC8YkA4yQ2sybm9ZkBaTVc
65536,27673,1,5,169,0,1,0.2587890625,0.1884765625,0,11526,105,85,6137,443,pyreadline3,QmRDV4UfzcFS5yw7A5FtWXzmVu5v8hcNsg2M32qQnwuJVJ
131072,47081,1,4,188,1,1,0.2587890625,0.1884765625,0,16941,7337,85,11914,1280,humanfriendly,QmZ4xCwMiWUiUaj8r4ruJKHVERk82cZuNpT1ZYDZLHF3NJ
131072,47273,1,3,182,1,1,0.2587890625,0.1884765625,0,17133,7337,85,11914,1280,coloredlogs,QmXPgYfmos8MzJWvTDS3zww6HhEjQKpKzd9PHHrdRmnQXo
65536,27446,1,3,169,0,1,0.2587890625,0.1884765625,0,11299,105,85,6137,443,flatbuffers,QmSdPu5BGJVwiBLbQ4NKjqz6gXCJSuBHmk43mB8Af9JJru
65536,27268,1,7,170,0,14,0.2587890625,0.1884765625,0,11121,105,85,6137,443,protobuf,QmQP3bZ2bnubCX1GFhyuYSAPN2XmsppMfDkkEuEsrra6n2
65536,27654,1,6,170,0,1,0.2587890625,0.1884765625,0,11507,105,85,6137,443,mpmath,QmXgGp3n9yiwmcCHUoMUPuq1yNrHQ5y44Dv19DLjEcDUjn
131072,47244,1,5,182,1,2,0.2587890625,0.1884765625,0,17104,7337,85,11914,1280,sympy,QmbrpsXjjqgT8yqXX1tdcBpbtMQa77ZfgRfC3dCMDVd5qE
262144,124362,1,2,225,6,2,0.2587890625,0.1884765625,0,44963,43487,85,23340,2938,onnxruntime,Qmf8qJjHBa7N3bXibkDByTnDYMnGjMGeM3ajXtKzg7Cjfz
131072,66239,1,6,195,2,7,0.2587890625,0.1884765625,0,22318,14567,85,17627,2109,googleapis-common-protos,QmYMmqT4TZuNVEWzNwumkRmHCQnBU72MX8BEkLdHAYHwY7
131072,47289,1,4,187,1,3,0.2587890625,0.1884765625,0,17149,7337,85,11914,1280,opentelemetry-proto,QmNTFF8YqnzshzaXucHBYcLPPpGv3jZQLa7FX3YH3kdUF7
131072,46926,1,3,182,1,2,0.2587890625,0.1884765625,0,16786,7337,85,11914,1280,opentelemetry-exporter-otlp-proto-common,QmbBoAKnh5X5ZyPjpF7s3CwaMLC9QNkxKp2Xu3MAisxjb5
131072,66660,1,4,196,2,1,0.2587890625,0.1884765625,0,22739,14567,85,17627,2109,opentelemetry-semantic-conventions,QmWXmA2jUi3ueYXSichXkWg5bZRBRmU922g8eSwNyLLJp3
131072,79412,1,3,203,3,4,0.2587890625,0.1884765625,0,28261,21797,85,17627,2109,opentelemetry-sdk,QmakqaGZeg4wYfBkmnRky4XvCmMx3ZyoPViqFDh1PXi7Zs
262144,137207,1,2,236,7,1,0.2587890625,0.1884765625,0,50578,50717,85,23340,2938,opentelemetry-exporter-otlp-proto-grpc,QmYm2DXJxhGnRZwF5Dtmq1Lq1SV6tBSVANtciHcqqQeX4S
65536,27664,1,2,169,0,2,0.2587890625,0.1884765625,0,11517,105,85,6137,443,orjson,QmYj4Lz4kNmuEZcbQm8uvR7fpH1dDDrTWyPPRnWHU7KoQv
65536,27461,1,2,170,0,1,0.2587890625,0.1884765625,0,11314,105,85,6137,443,overrides,Qmdb85Wjz7hB4odf9TRitnyUAY7vRs8ULY2qpHgUVsydSH
65536,27664,1,3,176,0,1,0.2587890625,0.1884765625,0,11517,105,85,6137,443,backoff,QmWHU6Rv7FuRfEQG39btSEsAa9Wfi2oW968gVZFkdGSyUS
262144,111547,1,2,225,5,1,0.2587890625,0.1884765625,0,39378,36257,85,23340,2938,posthog,Qma8pwWMZiFLFTB4Kq6XenYwCLGMXC4agahzqFVZH6xmqR
65536,27449,1,2,169,0,1,0.2587890625,0.1884765625,0,11302,105,85,6137,443,pybase64,QmfFRLmWRARJw1yK2m5nUu29eSwJLZFYCMBgivpHugXd26
131072,47254,1,2,225,1,1,0.2587890625,0.1884765625,0,17114,7337,85,11914,1280,pypika,QmVcL9CFvsiuPd5cxQwfo6BHbMkSGzbrQsF1iBmpwTtTgw
65536,27451,1,5,169,0,1,0.2587890625,0.1884765625,0,11304,105,85,6137,443,mdurl,Qmcde4pFcdQEUB2UMyGi1UUXPwbkv3xzEwvUiAXHUYAZTQ
131072,47261,1,4,186,1,1,0.2587890625,0.1884765625,0,17121,7337,85,11914,1280,markdown-it-py,QmaXQcKz88KfDV7Y9L4ZKBBLhepWVUZs2XGSTxXnrXmKFs
65536,27268,1,4,175,0,8,0.2587890625,0.1884765625,0,11121,105,85,6137,443,pygments,QmSzwXuDCvSbpJwAnfQNcFsPbAYNWSfWfSJD3uqTLuGBiN
131072,66196,1,3,193,2,2,0.2587890625,0.1884765625,0,22275,14567,85,17627,2109,rich,QmT2CoZARbh5ewteAMNzqDb1kw8e2G3TU8oQQpz7gdiF1m
65536,27449,1,3,174,0,3,0.2587890625,0.1884765625,0,11302,105,85,6137,443,tenacity,QmS5qgFkTGrsjErTVVq6xTzqokFg918oZ6ZTmNmG11FAgx
65536,27268,1,5,170,0,5,0.2587890625,0.1884765625,0,11121,105,85,6137,443,filelock,QmaymnaYGp8jxawm7m8dXV785vTA8V7ZjN3oszBtWEMUDW
65536,27268,1,5,169,0,2,0.2587890625,0.1884765625,0,11121,105,85,6137,443,fsspec,QmVYuXHCzDeGEZLTWA13vZzS2deGBUGCCLjRzTB7pENktY
65536,27654,1,5,173,0,1,0.2587890625,0.1884765625,0,11507,105,85,6137,443,hf-xet,Qmdwygd4m5J6ZPHN1hFBp7cMghFrRPDYYY4cFMj5tc9NB9
262144,156504,1,4,245,8,4,0.2587890625,0.1884765625,0,56103,57947,85,29053,3767,huggingface-hub,QmWnzwyVpQvvReKY2yRN1cCwFiNm8PqBUyGL6EtQyJqLTv
131072,47263,1,3,188,1,2,0.2587890625,0.1884765625,0,17123,7337,85,11914,1280,tokenizers,QmU6NNoZE8qJGkMjSxGbz1BGVt2HiSD35wGRdPaggkyGmo
65536,27468,1,3,173,0,1,0.2587890625,0.1884765625,0,11321,105,85,6137,443,annotated-doc,QmYBK5FuSg6VQf4rzWuDSseZdncn23JHvnmUGG7NLYiE88
131072,47054,1,3,186,1,2,0.2587890625,0.1884765625,0,16901,7350,85,11914,1280,click,Qmd2CaU7yqDPQCcuqBNLcB7FkzrqpxYxNPmTDNQ6Sswhis
65536,27673,1,3,175,0,1,0.2587890625,0.1884765625,0,11526,105,85,6137,443,shellingham,QmSXkzhnznn1dKGehfT4yCqqZtBFGmFQwS4gyeWfgsNSJ5
262144,98725,1,2,217,4,1,0.2587890625,0.1884765625,0,33802,29027,85,23340,2938,typer,Qmejk2fsH4mdEovnBNqZ2tLJ5ewujBwpYM4xug8dicfzpJ
65536,27461,1,3,173,0,1,0.2587890625,0.1884765625,0,11314,105,85,6137,443,httptools,QmUiS2ipkCHLuc3W9VDK47ReFsJKCZA4Y6hYxQMtSbUjcR
65536,27664,1,3,181,0,1,0.2587890625,0.1884765625,0,11517,105,85,6137,443,uvloop,QmdWmKmevqQfS1pp7yVpYAmQph7oCSx533ySFvwcRJ3Ycz
131072,47253,1,3,185,1,1,0.2587890625,0.1884765625,0,17113,7337,85,11914,1280,watchfiles,QmcmhvedtBwATwFrm5Xwhnic1NCSXJD5yioLpmYKz87vWc
65536,27673,1,3,180,0,2,0.2587890625,0.1884765625,0,11526,105,85,6137,443,websockets,QmXwXquPgBJgBJ6DHXJsc1kycdejgScyNSFzxH5NMoRYNg
262144,182079,1,2,259,10,2,0.2587890625,0.1884765625,0,67218,72407,85,29053,3767,uvicorn,QmPCAehEup69qRGibMtsE4SvpeUSsKRRRvYWJ2dWiF4jiq
