cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,4,64,0,2,216.087890625,216.017578125,cachetools,QmS3efAPvibJ9KXFqbSxirM7xXUhiLP6FJ5BDH5ATQTS2G
65536,4,75,0,1,216.087890625,216.017578125,cloudpickle,QmS5jZ9jwgBF5ktW5taaduwmHhaqncAcpo5Xepf37KY3JN
65536,6,75,0,3,216.087890625,216.017578125,cryptography,QmRNVWBKArbFAue2g3nisagd1nPjzapNGrvJyt1yg6V236
65536,7,75,0,1,216.087890625,216.017578125,pyasn1,QmUQFhV5gk7epgdDboHmD8k72LNXwk1q4ZBFjPuV2nKx6r
131072,6,153,1,1,454.671875,454.6015625,pyasn1-modules,QmWdGGA7GPcYRmPz5Z2gN7kDsV6bnzUDnm3UF3tNEAqJQa
131072,5,304,2,1,909.33984375,909.26953125,google-auth,QmafUsdDUeVivkvkWHWyyYHCHoG5JaN9pvoZRW6CVxAqpx
65536,5,75,0,6,216.087890625,216.017578125,protobuf,QmQqkA6wY9sxXU6LV9W6VkpFnxBPGeGBCJRzVL5mPi71id
131072,4,835,3,2,2478.365234375,2478.294921875,databricks-sdk,QmWsUH81YNzPzPsBQ7mqJiYGiFqMhFu63E44ySD8HD39E1
131072,6,131,1,1,454.671875,454.6015625,pydantic-core,QmXu4n2sPbmZipRi8bVcBNSAtv7EJ6AsuHB1dUe7B3dF2y
262144,5,529,4,6,1591.529296875,1591.458984375,pydantic,QmRpGFFFxTi616K53dDUqug4VhQDmjnivY199AN4BoLRws
131072,5,231,1,1,693.255859375,693.185546875,starlette,QmPtAJ8P8NYCuVvBL1g5pTew7ZQMxcjM7Fe5mvYJTwTnqB
262144,4,991,5,1,3421.638671875,3421.568359375,fastapi,QmfKWopN81P7sQW6wSGFXjNicUAWWkvgEpCnXoJ8vFHKw3
65536,6,30,0,1,216.087890625,216.017578125,smmap,QmYisUDvVfzYpAeNeHAspMbezwxZGEyo7aECyzyYM8wcDW
131072,5,61,1,1,454.671875,454.6015625,gitdb,QmVNbMoerCxXKuBkTVwntousquBwTP6Mwbgr7qu5oPSiKZ
131072,4,231,1,2,693.255859375,693.185546875,gitpython,QmdN2yps3kMBDDtZbRvkLRe79WFw8pkmM7MTEzEtZfJcC9
131072,6,305,2,4,909.33984375,909.26953125,opentelemetry-api,QmbfP55wgf95REFjNt4C8UDa9PX99rvVcpEjKBCgK9Resc
65536,4,76,0,1,216.087890625,216.017578125,sqlparse,QmbGDe4NKwyPwjvMomme15Z7uUESezYQWbvE3mbyAKcdLF
131072,4,228,2,1,670.755859375,670.685546875,uvicorn,QmNxLrvvLMYw2MHaswoCqVxPeYA7gA1UTnmQWym4vk8crX
524288,3,2548,17,1,16052.529296875,16052.458984375,mlflow-skinny,QmR1qBmGFd8H7FgVVettyzoUNSVKiuNkDgsWZ4hz2XupWi
262144,3,1623,7,1,8605.5078125,8605.4375,mlflow-tracing,QmUwYBLEi9cSJdVk5wDyccs9YF58A2qwvC3rhHNpLKaHt3
262144,2,5281,10,1,35253.66796875,35253.59765625,mlflow,QmdcKn8sYegupgnsRa5YsaebeX9R6uGhs1A41LghEZYJRJ
65536,2,31,0,1,216.087890625,216.017578125,pybind11,QmNPSauz1h4rY7AEJWCNgcrRM9aH9CE25JfmJdKFpncMzt
65536,2,31,0,1,216.087890625,216.017578125,torchao,QmVFcRMjRRPMmBktfsfZnb9WwE19xidaM7HsQ9q9ugvpn7
131072,2,252,2,1,1569.029296875,1568.958984375,torchdata,QmQQyt1U5QQZStjBW2ATiDHcBGiHhF5oyBZ7DZ6FTXz5SW
65536,3,76,0,6,216.087890625,216.017578125,regex,QmfFusUNien4isa3obUXg7vWaeQANEPYzd37mrv4Yhp9L2
131072,3,1579,1,1,7878.693359375,7878.623046875,tokenizers,QmPeiSHAwpJTFdN1qXiXLh6r54sCF2KbWGaoBJFfQPhApF
262144,2,3044,8,2,18202.181640625,18202.111328125,transformers,QmQTJqtZ7hdcZAjp1pWXVjU3kRf7Gbj6AmVhmoyvehQcTq
131072,3,95,2,1,670.755859375,670.685546875,sentry-sdk,QmUWQGcJZbKkUrJ2jRPZTnHK9TMAgSwfkeKZgjphbd9NoG
262144,2,1067,10,1,5616.416015625,5616.345703125,wandb,QmbsmGynVqEkAh3fvqhX4GdeMq7WWAYmAU7SxMRzxaVSqf
262144,1,11451,11,1,79946.880859375,79946.810546875,nemo-automodel,QmZiAf1bgwW5NjGVGGo8erEJCQofobKSSVMbbcHexbajcn
1048576,0,78,50,1,218.056640625,217.986328125,Batch-L0-1,QmNwYXKaDpufPjvcN3sAFBSvLveKNTa7uAmj2CgmZs8KBL
65536,2,76,0,1,216.087890625,216.017578125,catalogue,QmRPipSsHEXkJu7RnE3NpYKVxH9nXyyJXhfSrGJY2k68Kd
65536,4,76,0,1,216.087890625,216.017578125,wrapt,QmQk57G85Z2ADoJWQdpPsCDvVfzSxYSZxXZQsQPtsyVdsJ
131072,3,156,1,1,454.671875,454.6015625,deprecated,QmY3D9MZkDaaNVS4QCpcmVZwBbkUE5vE2gEcpoYiXJLjNi
65536,4,75,0,1,216.087890625,216.017578125,pynacl,QmaiTEcNsaBQvzLxRc3YGkEru5DZJecwnn25mMpdQGBBJt
262144,3,352,4,1,1114.361328125,1114.291015625,paramiko,QmXNGj2kF9kDVBafkRLYbqdysCkq3iX8fxxb9Yto7uBJDs
262144,2,747,4,1,2251.21875,2251.1484375,fabric,QmcgCrhbvt5CVBTqrUjRbWQ8gyaRcq2tpqzvqQy62KX4zA
65536,3,75,0,2,216.087890625,216.017578125,absl-py,QmSZbX5qcc13fcQLbYMkCu66dHFiyqjqSL8PF2ZttpdHE2
65536,3,76,0,1,216.087890625,216.017578125,graphviz,QmXUSEEA8fvZCz7G2CJkdW2ir8ouMpAAqkf8oaxVuPExoh
65536,3,75,0,1,216.087890625,216.017578125,libcst,QmYQezTANx1vKDx5eomm1cMm4NThtAynbWZ7xSKvJsXVxm
262144,2,378,4,1,1114.361328125,1114.291015625,fiddle,QmfT2z9kUodiHRoJNt8q5PvQ89dVN2D8XV9eBJygk3fey3
65536,3,75,0,1,216.087890625,216.017578125,pfzy,QmXP5o2McyuoXMr8YapUtoKcd1Ebea9gG9mcZ78S1ZMwDz
131072,2,304,2,1,909.33984375,909.26953125,inquirerpy,QmUQYW5thjsv7K7id6NGB6WGq79KSgRrUJJfHJiuwx6muw
131072,4,227,2,1,670.755859375,670.685546875,typing-inspect,QmR8GMkV6F2vHKmJQqbBwF4bpw6KM75f8LpPZNvqR5ezi4
131072,3,404,2,1,1125.423828125,1125.353515625,pyre-extensions,QmZxmj318Tmsyd13phNKYF4mkwjdFTYQu1S5pM9aJLU2J1
262144,2,1365,9,1,7628.671875,7628.6015625,torchx,QmSSQVdA7ndcZxUhqbTrqzffwnUfKA21KYXgpKvE9EC1eg
262144,1,2285,11,1,15734.8828125,15734.8125,nemo-run,QmNxfSvPU3onTkbiXymqccfzgsyG8ohPR6TcHFs69nGkQE
65536,1,69,0,1,216.087890625,216.017578125,nemo-text-processing,QmS3eqyLdsg5276LMJ11cifCd6WgpSHr7yq4q8NaQ57rVY
65536,1,71,0,1,216.087890625,216.017578125,nemo-toolkit,QmTD8whTb2KsPToQ4Z6cxMAUPjZNNgEnjHyARsMmWGhXqU
262144,1,380,4,1,1114.361328125,1114.291015625,nltk,QmZpdySwEsP9Cagzqv7S2MBYo5h353m988NavezDHNrgVa
131072,1,232,1,1,693.255859375,693.185546875,numba-cuda,QmbVHdSJhNuDN4cxidEZjFp7hoXy5mDKocpFjGfyp3Qq3q
131072,2,155,1,1,454.671875,454.6015625,cuda-core,QmXZrWmuVHg3k9TC6qytyhBp9epVH7fCoadswg96bisc8A
65536,3,83,0,1,216.087890625,216.017578125,nvidia-cuda-cccl,QmbcDkdfZFRZLLbk9BAZxGPrpavMWb2im875J27P2Lawkg
65536,3,76,0,1,216.087890625,216.017578125,nvidia-cuda-nvrtc,QmZY2CdowVPkfjsaFyPb1ac5fdgCfPaWrQy4FEy3Wt9s15
65536,3,76,0,1,216.087890625,216.017578125,nvidia-cuda-runtime,QmPVia5PD55zgZHPJ2jM7bcP9sW955FuW5yf4EA1WRQxF8
65536,3,77,0,1,216.087890625,216.017578125,nvidia-nvvm,QmXpsQ2wCYjuVc1fp6kcwD6VfUrFVxH3A4BWEQTWKw5oe5
262144,2,246,4,1,1114.361328125,1114.291015625,cuda-toolkit,QmQTp3qFgbaYEj7fFmjeApGjGKgyxSEScBqq97Dt1VNUMc
65536,2,49,0,1,216.087890625,216.017578125,nvidia-nvjitlink,QmR6DZBK3pNCNzgYhjmdd18XDj8ip3cWFBzBUVHvMfxFdN
262144,1,717,7,1,3138.0546875,3137.984375,numba-cuda,QmP4x5sKevLuLTsmvQJwKZH29Fh7RJuPLQoTR7EvVcUEGE
65536,1,31,0,1,216.087890625,216.017578125,numexpr,QmSbQeWrsZasYu8rzt2VXRawJjQfFiHuPAsx5JeozqTbDb
65536,1,76,0,1,216.087890625,216.017578125,numpy,QmP6LxzCUPE3rdS4LXcN5ZWiSLW7E2nz9j6uuphp7rairc
65536,1,76,0,1,216.087890625,216.017578125,numpy,QmT7J4rayPuumb2V8XnR6MM3FwDqqbKQ91dKba7jPBQ1JQ
131072,5,226,2,3,670.755859375,670.685546875,lightning-utilities,QmaRqWnuy9CXfAEk6F2E9uJr9Z37XrJWREgdL1vgYoDEk8
131072,4,377,2,2,1125.423828125,1125.353515625,torchmetrics,QmYruMAR7qeqnQqwyNHSPrX1Yv4FGV9aYnu6S8PL6CiZDu
262144,3,1279,7,1,6059.646484375,6059.576171875,pytorch-lightning,QmcwiCNQK3P367y21eKKECuHCwTcrE9B7cigJzDuWmBmYF
262144,2,1958,8,1,12119.2890625,12119.21875,lightning,QmQwdCy3PvVjEeHsdxgu61sKtSRtUhk1s1GAkmnHAVoBDt
65536,4,32,0,3,216.087890625,216.017578125,strenum,QmYh4oWZd5eCRQFrsKrLX1iYdXg421CdG9RDqSM2zVkS1c
65536,4,76,0,1,216.087890625,216.017578125,toml,QmZDAiHFPSfC6J6BMPNLVPYPqWtFNgxPUDdGfeUno2nkzE
262144,3,702,5,2,2705.88671875,2705.81640625,nv-one-logger-core,QmZP1ySdk7Mt4SD8RoGptTAeSgE4egJyoWnHMUwRuBsGVY
131072,2,490,3,1,3376.638671875,3376.568359375,nv-one-logger-training-telemetry,QmZ2Ua2ZvaCpJA8kqD2AaJdjgTEviri9tef6ai7775mySR
262144,1,2890,5,1,18883.99609375,18883.92578125,nv-one-logger-pytorch-lightning-integration,QmWA7amiCK1ndQDhfQkGMZRgJi6aehdaPwDuWcQuiBP6PA
65536,1,32,0,1,216.087890625,216.017578125,nvidia-cublas-cu12,QmNMFyWMgL7hM2LYNMbcAc2pvoABhwoNHC46BnSW47gCbT
65536,1,36,0,1,216.087890625,216.017578125,nvidia-cuda-cupti-cu12,QmZMKjdV3d73j5ACCqv7nSztLQL1xyN53MJ8ykzucgcqb2
