total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
262144,137481,2,77,7,1,25,218.056640625,217.986328125,google-cloud-bigquery,QmZD8nx6UVSXSWzHPJ4j6ZRKVpmRvfW5oAbNRaUM2mNvvD
131072,79740,3,78,3,1,4,218.056640625,217.986328125,grpc-google-iam-v1,QmWtvZy9xG7QeMbgWUqEEY6rYNJJiiuda9FuxERHKSHfpz
262144,124702,2,77,6,1,20,218.056640625,217.986328125,google-cloud-resource-manager,QmcvHj4aFUVpg87dZ2oTYrdv1aA4Sw8FiwApcdBPMZygpK
262144,124290,2,77,6,1,22,218.056640625,217.986328125,google-cloud-storage,QmcXdd8eZEcR4LfQp49WNxxab31JyHgBFindqtSWPtESwG
262144,156407,2,78,8,1,27,218.056640625,217.986328125,google-genai,QmcCaGaUjQPgCM2gSDsFXMJAh9j1Swz1MwirrVrajZJXpd
131072,47572,2,78,1,1,1,218.056640625,217.986328125,shapely,QmUsYyWpUYMEyYyeXN3dpGGwmzK2dCbYV85iMPjKXvQYAF
524288,220638,1,77,13,1,47,218.056640625,217.986328125,google-cloud-aiplatform,QmTDYmmjmXLHicEimX9SUYR2X3JAQ3u53WB7czgbP4VWLi
65536,27982,2,78,0,1,0,216.087890625,216.017578125,appnope,QmbDaQtkhVtDDJTVKSUbxW1e5kpVk5pMaWtnn39722q4KN
65536,27792,2,76,0,1,0,216.087890625,216.017578125,comm,QmNQj7f6R6Yz5ugvdg8ggYnsNzpqbSxNYELeSEasXyzgvZ
65536,27992,2,77,0,1,0,216.087890625,216.017578125,debugpy,QmbbmVdfzyGc4LFt2Wz6McTzZ4DGHXVMp2RyAJgQVfMmW5
131072,47572,3,77,1,3,1,218.056640625,217.986328125,pexpect,QmUv62T1mhu1822o6cSxPCZV2B9FN3VBUKY3ovA3nUASuA
262144,195193,2,78,11,1,17,218.056640625,217.986328125,ipython,Qmee36DxEMjBupsGTdcW7m4Vgs3wGYLfpqSLeGdz6b1WXo
131072,47606,3,77,1,2,1,218.056640625,217.986328125,ipython-pygments-lexers,QmNqmF9TEsAEDR8vMegfUA938P6cA2qmG2zsokDGZ4NBGC
262144,195193,2,78,11,1,17,218.056640625,217.986328125,ipython,QmbwaAHnEgSrXr2wpkB3uCJNxWPdgmUZPgwAPsNqdV7YpQ
262144,182397,2,81,10,1,16,218.056640625,217.986328125,ipython,QmQkHitQW5vmAasmeZtdfbCH8K2pzNfXY5rLBBCSndxSyu
131072,66746,4,78,2,5,2,218.056640625,217.986328125,jupyter-core,QmZCdPfHFLQ9shkSGewcAvBYkC5Cmoegvz9L4rngFU5UHk
131072,47562,4,78,1,2,2,218.056640625,217.986328125,pyzmq,QmPXzZ7yvRofRmUpRzBLuQuYmP4HWyF7UWRWjzZcsA9mTa
65536,27982,4,77,0,2,0,216.087890625,216.017578125,tornado,QmSGPhF5Kg2EoPKXbZuZdQKCMLErEnHjsikkMfuGi1SLWV
262144,111872,3,77,5,2,9,218.056640625,217.986328125,jupyter-client,QmZfXD8mVKXvE2K2GwkNXrKwxB3BCuodXhw98BoNweghA5
65536,27809,2,77,0,1,0,216.087890625,216.017578125,nest-asyncio,QmTCa7ZP88zXWAayd4H7fTXhNNhyD9aBw7T3THB7Ag6zia
524288,246382,1,77,15,1,36,218.056640625,217.986328125,ipykernel,QmREYfyRKc53bUuebtCo3wvfzXgDGgNw3gMDzvqhi8Tye2
65536,27779,2,77,0,1,0,216.087890625,216.017578125,httpx-sse,QmYk1DALbWEi1xiMnsevQaivvKnkqoA4CJTDTX17tRxnP8
131072,79730,2,78,3,1,6,218.056640625,217.986328125,pydantic-settings,QmUkXw69DUWCfCFbePreZeVuyuzaDJ5RCXGbFTbD4Mcr1T
65536,27602,2,77,0,1,0,216.087890625,216.017578125,python-multipart,QmfJipCVJKXxh5H9JntiJCSqsjK2UpUxTdCHbeatpkNhMS
131072,66918,3,77,2,2,4,218.056640625,217.986328125,starlette,QmcP8zFtwjKbHfjby6cgGdkg239JGPStMPuZKh5d3AFQNS
131072,66749,2,77,2,1,5,218.056640625,217.986328125,sse-starlette,QmQwJa4yhHywqXVXEdyjddPxPKkTkCq7xeuYeovwyFXR2J
524288,233588,1,77,14,1,39,218.056640625,217.986328125,mcp,QmSgayeem4Pc4ZCXXkWw6JaNxPyTGbPRSGiah5H36vaFZ3
131072,47416,3,78,1,1,5,218.056640625,217.986328125,microsoft-agents-activity,QmRwm1BMexP8UCVFXHWL2k84A8ex9ddjVeZcRHXsbFSSoh
262144,111768,2,78,5,1,18,218.056640625,217.986328125,microsoft-agents-hosting-core,QmbebHCk5qCHFNkUGaty7g1yCaUg1akSsGFmhdoggvLEgc
131072,47440,1,77,1,1,19,218.056640625,217.986328125,microsoft-agents-copilotstudio-client,QmfPNMTGPS3WbpWneGcYVX5ib1bEhpZrxLeixTWxqKo38q
65536,27972,1,77,0,1,0,216.087890625,216.017578125,milvus,QmeSXvYmhALnAaUmatPsnC6Ao4gj69CPNiuccA7QGsonAV
65536,27997,2,77,0,1,0,216.087890625,216.017578125,eval-type-backport,QmVTqHwD95aNamUDBLMaGjwi7WVnMTqbeobPEACZTt4NcF
262144,137525,2,77,7,1,16,218.056640625,217.986328125,opentelemetry-exporter-otlp-proto-http,QmXkJxybYoRfWbamcwhViu59XmtGcL9iJSsdpf157nzdf6
262144,182386,1,77,10,1,34,218.056640625,217.986328125,mistralai,QmX6FciyzNxooW3grr42NxrRh7EN1mwc5Vzg1heLecv3Mn
