total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27999,4,78,0,2,0,216.087890625,216.017578125,snowballstemmer,QmNWzNYqmGA2EQ7L6LgFF5gDbmQ121qWnoSHEzE8Vr124V
65536,28016,4,77,0,2,0,216.087890625,216.017578125,sphinxcontrib-applehelp,QmdugZrjX8gftCsuficqHAZX2qd6kS7pTcGAgDezJsZwF3
65536,27803,4,76,0,2,0,216.087890625,216.017578125,sphinxcontrib-devhelp,QmepSQviXAnVDLG7vDiapqRwTAxW8VimqdfLxkzhabc1tW
65536,28006,4,76,0,2,0,216.087890625,216.017578125,sphinxcontrib-htmlhelp,QmXiV7xya9vfsqZButieVXhhiSDdFJSPLfsYXodQwzixPq
65536,27826,4,76,0,2,0,216.087890625,216.017578125,sphinxcontrib-jsmath,Qmd7eZFegUKLazx8KpEX5jiTm5AT4QAFePSz6vDJjVDpkB
65536,27826,4,77,0,2,0,216.087890625,216.017578125,sphinxcontrib-qthelp,QmQXvrBBgc8x92gfn2nR4gM4qPov8yhrWcfkj771iwzcR2
65536,27820,4,76,0,2,0,216.087890625,216.017578125,sphinxcontrib-serializinghtml,QmXXsU8KSnN1CF8UvPjFxu4BB4LWknXk2pfTy8UaX2AArN
524288,278523,3,77,17,6,22,218.056640625,217.986328125,sphinx,QmSV6EANmuRKnvePzFvuAVYRzXHnbzVJPhS7MDkWNvzQhz
65536,27989,5,76,0,1,0,216.087890625,216.017578125,roman-numerals,QmUKisMfnoESMeCw7Pbq3x1BG7DrrL8LZ4Sj6wc34URFyA
131072,47398,4,76,1,1,1,218.056640625,217.986328125,roman-numerals-py,QmRCbXvg1UA31pigbriXx94R1WZDiFzN64ovL4pAqQsUfH
524288,278523,3,76,17,6,23,218.056640625,217.986328125,sphinx,QmXvpakRJH63McCofmhmTTwgpP1XZrAYycJSMKSBSF3Cbu
131072,66763,2,76,2,1,26,218.056640625,217.986328125,sphinx-notfound-page,QmREstgVUSHyrgQNq5Jxopd2t9wUQyjsE7UE49We59V9P9
262144,98926,1,76,4,1,27,218.056640625,217.986328125,pallets-sphinx-themes,Qmd7A6YBhQ9aASAwwRGatrN9pYVD9YHAoygruEJqfJvmZG
65536,27792,3,76,0,1,0,216.087890625,216.017578125,cfgv,QmUQxedt9Tah617eKP7Y1jz5KKfszGMG18yLZGuYcwFjqs
65536,27586,3,76,0,1,0,216.087890625,216.017578125,identify,QmcWz2x1cGzoE4ntax6gfTtBoYGRCNGg1XvGSRm7CTxBZj
65536,27992,3,76,0,2,0,216.087890625,216.017578125,nodeenv,QmQmGgrLYptHm7FtdenBYAL2ziSdqgBES4RimUHm5EVvSX
65536,27972,3,76,0,1,0,216.087890625,216.017578125,pyyaml,QmVFYA3mHu8d9Fb9JpigXN6Je48FsYHJUGonALCdxZ8niX
65536,27982,5,76,0,1,0,216.087890625,216.017578125,distlib,QmUDYX8NXgmjVkGA45e1H7k1G6VrYQ5KLqxuvCfGtPpcFo
65536,27586,6,76,0,3,0,216.087890625,216.017578125,filelock,Qmc9zAmYCMnZvh3uhFuaxPWbmYmD269E1oMv1pkbtBmtQY
65536,27809,6,77,0,3,0,216.087890625,216.017578125,platformdirs,QmbxjWSondsxikhPUWAC9k8hVS1KJzKicqvgS3WwdtxyVp
131072,66721,5,77,2,2,2,218.056640625,217.986328125,python-discovery,QmTHSSPiHBopcaW6ANh1tUUAHMfamF6NoHCCR7Lfoqpc2E
