cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
262144,3,41495,7,2001.197265625,2001.126953125,0
131072,2,21265,1,2239.78125,2239.7109375,0
131072,3,21120,1,454.671875,454.6015625,0
131072,2,21975,3,2910.533203125,2910.462890625,0
131072,2,21589,1,2239.78125,2239.7109375,0
65536,3,10692,0,216.087890625,216.017578125,0
131072,2,22910,3,2671.94921875,2671.87890625,0
131072,3,20331,3,1125.423828125,1125.353515625,0
131072,3,20169,1,454.671875,454.6015625,0
262144,2,42215,7,7457.587890625,7457.517578125,0
65536,3,10606,0,216.087890625,216.017578125,0
131072,3,20684,1,454.671875,454.6015625,0
65536,3,10861,0,216.087890625,216.017578125,0
65536,4,11055,0,216.087890625,216.017578125,0
131072,3,20662,2,670.755859375,670.685546875,0
262144,2,42407,8,4047.390625,4047.3203125,0
65536,2,11163,0,216.087890625,216.017578125,0
65536,2,10772,0,216.087890625,216.017578125,0
65536,4,11008,0,216.087890625,216.017578125,0
131072,4,20885,1,454.671875,454.6015625,0
131072,4,21298,1,454.671875,454.6015625,0
65536,4,11026,0,216.087890625,216.017578125,0
262144,3,41319,5,1807.61328125,1807.54296875,0
262144,3,40727,5,1807.61328125,1807.54296875,0
65536,5,11090,0,216.087890625,216.017578125,0
65536,5,11135,0,216.087890625,216.017578125,0
65536,5,11121,0,216.087890625,216.017578125,0
65536,5,10425,0,216.087890625,216.017578125,0
65536,5,11240,0,216.087890625,216.017578125,0
65536,5,10686,0,216.087890625,216.017578125,0
131072,5,20833,1,454.671875,454.6015625,0
65536,6,11069,0,216.087890625,216.017578125,0
131072,5,21400,1,454.671875,454.6015625,0
65536,5,10925,0,216.087890625,216.017578125,0
65536,5,11175,0,216.087890625,216.017578125,0
131072,6,20672,1,454.671875,454.6015625,0
131072,5,20835,3,1125.423828125,1125.353515625,0
524288,4,80549,15,218.056640625,217.986328125,807531
65536,5,11089,0,216.087890625,216.017578125,0
65536,5,11191,0,216.087890625,216.017578125,0
65536,5,11112,0,216.087890625,216.017578125,0
131072,5,20688,1,454.671875,454.6015625,0
262144,4,39867,8,218.056640625,217.986328125,363753
131072,3,21559,2,674.39453125,674.32421875,0
65536,5,10922,0,216.087890625,216.017578125,0
262144,4,42112,7,5120.38671875,5120.31640625,0
262144,3,45289,12,15380.013671875,15379.943359375,0
262144,2,47474,10,24831.3671875,24831.296875,0
65536,3,10941,0,216.087890625,216.017578125,0
262144,2,40059,4,1114.361328125,1114.291015625,0
65536,2,10565,0,216.087890625,216.017578125,0
524288,1,94312,15,218.056640625,217.986328125,7810119
65536,5,11293,0,216.087890625,216.017578125,0
131072,4,21892,1,454.671875,454.6015625,0
131072,3,21022,2,1602.591796875,1602.521484375,0
131072,2,22035,2,2750.51171875,2750.44140625,0
65536,3,10705,0,216.087890625,216.017578125,0
131072,2,22211,3,1125.423828125,1125.353515625,0
131072,3,21743,1,1147.923828125,1147.853515625,0
65536,3,10894,0,216.087890625,216.017578125,0
262144,2,42642,7,7480.087890625,7480.017578125,0
131072,1,25211,3,218.056640625,217.986328125,1734274
262144,0,40358,4,1121.638671875,1121.568359375,0
